WP,Latitude(deg),Longitude(deg),Ellipsoidal Height(m)
1,35.69010481,140.02119201,52.07312653
2,35.69006959,140.02115995,52.01651243
3,35.68997837,140.02114859,52.04321942
4,35.68996400,140.02122894,52.02832889
5,35.68993376,140.02132217,52.04901289
6,35.68994319,140.02136605,52.05799446
7,35.68998468,140.02141770,51.96605622
8,35.69005931,140.02131915,51.94683237
9,35.69012819,140.02121561,51.96348143
10,35.69010481,140.02119201,52.07312653
